nivel,código,nombre
,100,Activo
,100.01,Activo a corto plazo
1,101,Caja
2,101.01,Caja y efectivo
1,102,Bancos
2,102.01,Bancos nacionales
2,102.02,Bancos extranjeros
1,103,Inversiones
2,103.01,Inversiones temporales
2,103.02,Inversiones en fideicomisos
2,103.03,Otras inversiones
1,104,Otros instrumentos financieros
2,104.01,Otros instrumentos financieros
1,105,Clientes
2,105.01,Clientes nacionales
2,105.02,Clientes extranjeros
2,105.03,Clientes nacionales parte relacionada
2,105.04,Clientes extranjeros parte relacionada
1,106,Cuentas y documentos por cobrar a corto plazo
2,106.01,Cuentas y documentos por cobrar a corto plazo nacional
2,106.02,Cuentas y documentos por cobrar a corto plazo extranjero
2,106.03,Cuentas y documentos por cobrar a corto plazo nacional parte relacionada
2,106.04,Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada
2,106.05,Intereses por cobrar a corto plazo nacional
2,106.06,Intereses por cobrar a corto plazo extranjero
2,106.07,Intereses por cobrar a corto plazo nacional parte relacionada
2,106.08,Intereses por cobrar a corto plazo extranjero parte relacionada
2,106.09,Otras cuentas y documentos por cobrar a corto plazo
2,106.1,Otras cuentas y documentos por cobrar a corto plazo parte relacionada
1,107,Deudores diversos
2,107.01,Funcionarios y empleados
2,107.02,Socios y accionistas
2,107.03,Partes relacionadas nacionales
2,107.04,Partes relacionadas extranjeros
2,107.05,Otros deudores diversos
1,108,Estimación de cuentas incobrables
2,108.01,Estimación de cuentas incobrables nacional
2,108.02,Estimación de cuentas incobrables extranjero
2,108.03,Estimación de cuentas incobrables nacional parte relacionada
2,108.04,Estimación de cuentas incobrables extranjero parte relacionada
1,109,Pagos anticipados
2,109.01,Seguros y fianzas pagados por anticipado nacional
2,109.02,Seguros y fianzas pagados por anticipado extranjero
2,109.03,Seguros y fianzas pagados por anticipado nacional parte relacionada
2,109.04,Seguros y fianzas pagados por anticipado extranjero parte relacionada
2,109.05,Rentas pagados por anticipado nacional
2,109.06,Rentas pagados por anticipado extranjero
2,109.07,Rentas pagados por anticipado nacional parte relacionada
2,109.08,Rentas pagados por anticipado extranjero parte relacionada
2,109.09,Intereses pagados por anticipado nacional
2,109.1,Intereses pagados por anticipado extranjero
2,109.11,Intereses pagados por anticipado nacional parte relacionada
2,109.12,Intereses pagados por anticipado extranjero parte relacionada
2,109.13,Factoraje financiero pagados por anticipado nacional
2,109.14,Factoraje financiero pagados por anticipado extranjero
2,109.15,Factoraje financiero pagados por anticipado nacional parte relacionada
2,109.16,Factoraje financiero pagados por anticipado extranjero parte relacionada
2,109.17,Arrendamiento financiero pagados por anticipado nacional
2,109.18,Arrendamiento financiero pagados por anticipado extranjero
2,109.19,Arrendamiento financiero pagados por anticipado nacional parte relacionada
2,109.2,Arrendamiento financiero pagados por anticipado extranjero parte relacionada
2,109.21,Pérdida por deterioro de pagos anticipados
2,109.22,Derechos fiduciarios
2,109.23,Otros pagos anticipados
1,110,Subsidio al empleo por aplicar
2,110.01,Subsidio al empleo por aplicar
1,111,Crédito al diesel por acreditar
2,111.01,Crédito al diesel por acreditar
1,112,Otros estímulos
2,112.01,Otros estímulos
1,113,Impuestos a favor
2,113.01,IVA a favor
2,113.02,ISR a favor
2,113.03,IETU a favor
2,113.04,IDE a favor
2,113.05,IA a favor
2,113.06,Subsidio al empleo
2,113.07,Pago de lo indebido
2,113.08,Otros impuestos a favor
1,114,Pagos provisionales
2,114.01,Pagos provisionales de ISR
1,115,Inventario
2,115.01,Inventario
2,115.02,Materia prima y materiales
2,115.03,Producción en proceso
2,115.04,Productos terminados
2,115.05,Mercancías en tránsito
2,115.06,Mercancías en poder de terceros
2,115.07,Otros
1,116,Estimación de inventarios obsoletos y de lento movimiento
2,116.01,Estimación de inventarios obsoletos y de lento movimiento
1,117,Obras en proceso de inmuebles
2,117.01,Obras en proceso de inmuebles
1,118,Impuestos acreditables pagados
2,118.01,IVA acreditable pagado
2,118.02,IVA acreditable de importación pagado
2,118.03,IEPS acreditable pagado
2,118.04,IEPS pagado en importación
1,119,Impuestos acreditables por pagar
2,119.01,IVA pendiente de pago
2,119.02,IVA de importación pendiente de pago
2,119.03,IEPS pendiente de pago
2,119.04,IEPS pendiente de pago en importación
1,120,Anticipo a proveedores
2,120.01,Anticipo a proveedores nacional
2,120.02,Anticipo a proveedores extranjero
2,120.03,Anticipo a proveedores nacional parte relacionada
2,120.04,Anticipo a proveedores extranjero parte relacionada
1,121,Otros activos a corto plazo
2,121.01,Otros activos a corto plazo
,100.02,Activo a largo plazo
1,151,Terrenos
2,151.01,Terrenos
1,152,Edificios
2,152.01,Edificios
1,153,Maquinaria y equipo
2,153.01,Maquinaria y equipo
1,154,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
2,154.01,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
1,155,Mobiliario y equipo de oficina
2,155.01,Mobiliario y equipo de oficina
1,156,Equipo de cómputo
2,156.01,Equipo de cómputo
1,157,Equipo de comunicación
2,157.01,Equipo de comunicación
1,158,"Activos biológicos, vegetales y semovientes"
2,158.01,"Activos biológicos, vegetales y semovientes"
1,159,Obras en proceso de activos fijos
2,159.01,Obras en proceso de activos fijos
1,160,Otros activos fijos
2,160.01,Otros activos fijos
1,161,Ferrocarriles
2,161.01,Ferrocarriles
1,162,Embarcaciones
2,162.01,Embarcaciones
1,163,Aviones
2,163.01,Aviones
1,164,"Troqueles, moldes, matrices y herramental"
2,164.01,"Troqueles, moldes, matrices y herramental"
1,165,Equipo de comunicaciones telefónicas
2,165.01,Equipo de comunicaciones telefónicas
1,166,Equipo de comunicación satelital
2,166.01,Equipo de comunicación satelital
1,167,Equipo de adaptaciones para personas con capacidades diferentes
2,167.01,Equipo de adaptaciones para personas con capacidades diferentes
1,168,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
2,168.01,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
1,169,Otra maquinaria y equipo
2,169.01,Otra maquinaria y equipo
1,170,Adaptaciones y mejoras
2,170.01,Adaptaciones y mejoras
1,171,Depreciación acumulada de activos fijos
2,171.01,Depreciación acumulada de edificios
2,171.02,Depreciación acumulada de maquinaria y equipo
2,171.03,"Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
2,171.04,Depreciación acumulada de mobiliario y equipo de oficina
2,171.05,Depreciación acumulada de equipo de cómputo
2,171.06,Depreciación acumulada de equipo de comunicación
2,171.07,"Depreciación acumulada de activos biológicos, vegetales y semovientes"
2,171.08,Depreciación acumulada de otros activos fijos
2,171.09,Depreciación acumulada de ferrocarriles
2,171.1,Depreciación acumulada de embarcaciones
2,171.11,Depreciación acumulada de aviones
2,171.12,"Depreciación acumulada de troqueles, moldes, matrices y herramental"
2,171.13,Depreciación acumulada de equipo de comunicaciones telefónicas
